Player,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
Andrey Golubev,2011,0.57,0.65,0.28,0.46,0.44,103,0.41,231,160,0.5,100,338,0.19,0.34,335,0.66,0.46,0.57,6,26,269088,880
Steve Darcis,2009,0.57,0.72,0.25,0.48,0.47,98,0.31,151,113,0.6,51,264,0.13,0.33,259,0.76,0.47,0.62,6,18,232464,140
Daniel Gimeno-Traver,2016,0.57,0.67,0.29,0.47,0.47,60,0.42,156,108,0.58,75,211,0.21,0.36,211,0.69,0.48,0.58,8,10,192556,272
Matteo Viola,2012,0.57,0.56,0.24,0.42,0.47,4,0.29,33,17,0.55,14,33,0.15,0.33,33,0.55,0.42,0.5,0,3,97213,270
Dudi Sela,2016,0.57,0.65,0.3,0.51,0.52,69,0.42,240,206,0.57,91,332,0.26,0.38,336,0.69,0.49,0.59,11,18,344436,94
Matthias Bachinger,2013,0.57,0.68,0.25,0.46,0.46,48,0.43,78,35,0.64,29,98,0.15,0.33,100,0.72,0.46,0.59,2,6,114285,160
Vasek Pospisil,2012,0.57,0.72,0.27,0.46,0.41,140,0.31,121,87,0.57,67,202,0.13,0.33,201,0.74,0.47,0.61,5,15,174624,77
Stefano Travaglia,2014,0.57,0.62,0.31,0.55,0.27,9,1.0,14,4,0.71,4,16,0.25,0.3,17,0.76,0.48,0.59,0,1,42960,109
Andreas Haider-Maurer,2013,0.57,0.73,0.24,0.43,0.46,61,0.39,77,46,0.57,47,120,0.15,0.34,120,0.73,0.47,0.6,3,7,193660,418
Marius Copil,2016,0.57,0.72,0.27,0.54,0.45,67,0.59,45,27,0.56,24,93,0.17,0.35,92,0.78,0.49,0.64,5,5,139267,86
Ryan Harrison,2011,0.57,0.69,0.29,0.5,0.47,197,0.4,262,215,0.58,141,419,0.21,0.36,420,0.74,0.49,0.61,14,19,303872,54
Dmitry Tursunov,2013,0.57,0.74,0.28,0.49,0.5,372,0.42,339,307,0.66,228,590,0.22,0.37,599,0.81,0.51,0.64,31,21,674517,516
Ivan Nedelko,2012,0.57,0.64,0.28,0.43,0.29,0,0.5,8,2,0.63,3,10,0.1,0.28,10,0.7,0.43,0.55,0,1,11364,264
Nicolaas Scholtz,2011,0.57,0.81,0.0,0.5,0.44,9,0.0,5,2,0.6,1,11,0.0,0.19,11,0.82,0.45,0.68,0,1,7483,355
Andrea Arnaboldi,2015,0.57,0.68,0.22,0.5,0.46,23,0.3,52,27,0.67,14,63,0.13,0.32,64,0.73,0.47,0.6,1,3,154062,222
Henri Laaksonen,2013,0.57,0.64,0.3,0.53,0.5,19,0.43,41,42,0.49,23,64,0.28,0.38,64,0.67,0.49,0.59,3,5,66418,136
Andrea Arnaboldi,2015,0.57,0.68,0.22,0.5,0.46,23,0.3,52,27,0.67,14,63,0.13,0.32,64,0.73,0.47,0.6,1,3,154062,222
Teymuraz Gabashvili,2015,0.57,0.72,0.28,0.5,0.48,205,0.36,286,242,0.64,168,475,0.18,0.36,469,0.78,0.49,0.63,17,22,557160,301
Vincent Millot,2009,0.57,0.68,0.29,0.38,0.3,7,0.6,13,5,0.46,3,20,0.15,0.29,18,0.61,0.42,0.55,0,2,43069,220
Filip Peliwo,2013,0.57,0.66,0.32,0.48,0.49,10,0.39,17,18,0.59,13,27,0.26,0.4,25,0.72,0.49,0.58,1,1,43285,180
Teymuraz Gabashvili,2017,0.57,0.71,0.31,0.48,0.44,17,0.21,32,29,0.63,9,46,0.13,0.35,43,0.72,0.47,0.61,0,3,128667,301
James Ward,2016,0.57,0.69,0.23,0.43,0.38,27,0.27,23,15,0.48,13,37,0.11,0.29,37,0.68,0.44,0.57,0,5,102078,798
Tigre Hank,2014,0.57,0.71,0.12,0.61,0.28,11,0.0,9,2,0.67,2,15,0.0,0.18,16,0.81,0.45,0.67,1,3,16989,973
Federico Delbonis,2016,0.57,0.72,0.28,0.53,0.52,233,0.42,318,331,0.61,174,608,0.23,0.38,603,0.79,0.5,0.64,27,24,681684,79
Vincent Millot,2011,0.57,0.54,0.36,0.44,0.45,9,0.33,55,36,0.51,13,56,0.21,0.39,54,0.5,0.44,0.5,0,4,104229,220
Taylor Fritz,2016,0.57,0.73,0.25,0.48,0.48,312,0.35,278,237,0.64,103,458,0.18,0.34,460,0.78,0.49,0.62,15,22,473348,66
Yuichi Sugita,2015,0.56,0.62,0.28,0.52,0.46,39,0.33,63,52,0.52,25,95,0.18,0.35,96,0.69,0.46,0.58,2,6,169187,43
Andreas Seppi,2015,0.56,0.73,0.28,0.5,0.53,266,0.42,330,345,0.59,109,614,0.24,0.38,607,0.78,0.5,0.63,26,25,1028403,62
Tatsuma Ito,2009,0.56,0.64,0.28,0.3,0.4,7,0.67,13,3,0.31,6,18,0.11,0.33,18,0.5,0.41,0.49,1,3,46249,146
Dustin Brown,2012,0.56,0.76,0.27,0.49,0.37,86,0.49,67,37,0.69,37,120,0.15,0.31,119,0.82,0.48,0.64,4,5,96531,162
Yann Marti,2011,0.56,0.74,0.17,0.38,0.4,3,0.0,7,4,0.57,4,9,0.0,0.24,8,0.63,0.42,0.58,0,1,11346,1062
Marin Cilic,2013,0.56,0.76,0.3,0.56,0.52,301,0.42,213,255,0.66,87,453,0.24,0.38,458,0.84,0.52,0.67,26,12,639368,3
Zhizhen Zhang,2015,0.56,0.63,0.29,0.51,0.43,10,0.4,12,10,0.5,6,18,0.22,0.35,19,0.68,0.47,0.58,1,1,23324,342
Andreas Haider-Maurer,2014,0.56,0.72,0.26,0.48,0.48,80,0.35,115,86,0.72,60,162,0.19,0.34,163,0.8,0.49,0.61,5,8,261437,418
Andreas Haider-Maurer,2011,0.56,0.73,0.29,0.46,0.41,170,0.36,174,123,0.61,103,263,0.17,0.34,270,0.75,0.48,0.61,8,14,204312,418
Andreas Haider-Maurer,2010,0.56,0.79,0.28,0.51,0.43,113,0.38,57,50,0.65,41,123,0.15,0.33,127,0.84,0.5,0.67,5,4,145793,418
Michal Przysiezny,2010,0.56,0.73,0.21,0.47,0.46,102,0.37,88,54,0.58,64,169,0.12,0.3,164,0.77,0.46,0.62,0,6,14156,1134
Amine Ahouda,2017,0.56,0.66,0.31,0.51,0.43,2,0.33,9,12,0.56,7,20,0.2,0.36,19,0.79,0.48,0.59,2,3,11449,1118
Janko Tipsarevic,2009,0.56,0.74,0.28,0.52,0.5,331,0.43,312,333,0.61,126,609,0.24,0.37,611,0.8,0.51,0.64,30,25,627863,153
Sebastian Ofner,2017,0.56,0.72,0.24,0.5,0.5,52,0.32,66,68,0.7,34,104,0.21,0.36,105,0.81,0.49,0.62,5,3,201544,139
Steve Johnson,2013,0.56,0.73,0.24,0.5,0.39,130,0.38,116,63,0.69,59,205,0.12,0.3,207,0.83,0.47,0.63,4,10,211429,52
Alexandr Dolgopolov,2017,0.56,0.74,0.27,0.52,0.49,319,0.4,274,277,0.6,138,561,0.2,0.36,572,0.81,0.5,0.65,28,23,934290,53
Kevin Krawietz,2013,0.56,0.73,0.2,0.46,0.68,1,0.0,5,5,0.4,2,9,0.0,0.35,9,0.67,0.46,0.61,0,0,3046,408
Inigo Cervantes,2012,0.56,0.66,0.3,0.5,0.47,29,0.62,33,26,0.36,14,73,0.22,0.36,73,0.71,0.48,0.59,0,1,7903,325
Ernesto Escobedo,2016,0.56,0.74,0.21,0.52,0.48,42,0.32,39,34,0.62,19,77,0.14,0.33,78,0.81,0.49,0.65,2,4,144173,149
Henri Laaksonen,2016,0.56,0.69,0.29,0.51,0.5,20,0.43,31,28,0.45,21,60,0.2,0.36,57,0.7,0.48,0.61,3,6,121564,136
Liam Broady,2015,0.56,0.69,0.31,0.46,0.46,17,0.38,31,21,0.68,11,37,0.22,0.37,37,0.73,0.49,0.59,1,1,116713,157
Denis Shapovalov,2016,0.56,0.74,0.25,0.49,0.5,20,0.3,20,20,0.6,13,41,0.15,0.34,40,0.8,0.49,0.63,2,2,52805,45
Matthias Bachinger,2012,0.56,0.74,0.28,0.46,0.49,162,0.35,199,158,0.62,65,302,0.19,0.36,305,0.75,0.49,0.61,9,16,238030,160
Tatsuma Ito,2011,0.56,0.66,0.26,0.48,0.41,21,0.24,47,37,0.53,22,71,0.13,0.32,72,0.69,0.45,0.58,3,5,94520,146
Paul-Henri Mathieu,2017,0.56,0.7,0.25,0.47,0.45,49,0.24,81,68,0.56,35,128,0.13,0.32,128,0.72,0.46,0.6,1,9,180966,372
Andrey Kuznetsov,2016,0.56,0.74,0.29,0.52,0.51,253,0.4,287,328,0.62,153,559,0.23,0.38,550,0.8,0.51,0.64,29,21,868237,135
Paul-Henri Mathieu,2016,0.56,0.7,0.27,0.5,0.5,170,0.41,276,228,0.61,151,447,0.21,0.36,454,0.76,0.49,0.61,18,19,484842,372
Paul-Henri Mathieu,2015,0.56,0.7,0.27,0.5,0.48,93,0.42,144,116,0.59,67,226,0.22,0.35,233,0.75,0.49,0.61,7,12,287741,372
Elias Ymer,2014,0.56,0.72,0.23,0.47,0.47,11,0.35,19,17,0.58,8,31,0.19,0.34,30,0.73,0.47,0.61,2,5,39392,133
Markus Eriksson,2014,0.56,0.38,0.29,0.26,0.63,1,0.17,9,12,0.22,4,7,0.29,0.44,8,0.13,0.38,0.33,0,3,15378,314
Tatsuma Ito,2012,0.56,0.67,0.27,0.52,0.51,95,0.4,193,149,0.55,83,309,0.19,0.36,303,0.71,0.48,0.6,10,16,241303,146
Tatsuma Ito,2013,0.56,0.66,0.26,0.47,0.48,41,0.34,95,68,0.52,40,149,0.15,0.34,143,0.68,0.46,0.58,5,9,167067,146
Thiemo de Bakker,2011,0.56,0.68,0.24,0.48,0.38,84,0.33,124,52,0.58,36,172,0.1,0.29,168,0.69,0.45,0.59,3,11,154358,311
Di Wu,2013,0.56,0.7,0.26,0.49,0.4,9,0.43,35,14,0.66,14,46,0.13,0.32,45,0.73,0.47,0.61,0,1,6762,249
Dimitar Kuzmanov,2016,0.56,0.61,0.31,0.49,0.49,1,0.38,11,8,0.64,5,13,0.23,0.39,13,0.69,0.47,0.56,0,3,16885,304
Pierre-Hugues Herbert,2016,0.56,0.76,0.25,0.51,0.44,201,0.43,122,97,0.58,96,281,0.15,0.32,286,0.82,0.49,0.65,7,12,405112,82
Aleksandr Nedovyesov,2013,0.56,0.75,0.18,0.32,0.4,6,0.0,7,2,0.57,1,10,0.0,0.24,10,0.7,0.41,0.56,0,1,121163,242
Marius Copil,2013,0.56,0.72,0.22,0.49,0.41,54,0.24,37,21,0.59,20,67,0.07,0.29,68,0.78,0.46,0.62,3,6,96222,86
Marius Copil,2017,0.56,0.75,0.25,0.52,0.44,209,0.31,143,108,0.63,73,276,0.12,0.32,273,0.81,0.48,0.65,8,15,364265,86
Jeremy Chardy,2012,0.56,0.74,0.29,0.5,0.49,324,0.37,306,299,0.69,181,534,0.21,0.37,521,0.82,0.5,0.64,24,20,482574,84
Laurynas Grigelis,2011,0.56,0.61,0.21,0.46,0.32,0,0.0,6,1,0.5,4,9,0.0,0.27,9,0.67,0.41,0.55,0,0,3622,251
Illya Marchenko,2016,0.56,0.73,0.28,0.46,0.46,180,0.44,273,200,0.63,156,417,0.21,0.35,412,0.75,0.49,0.61,15,22,580368,252
Yuki Bhambri,2011,0.56,0.46,0.06,0.37,0.47,2,1.0,10,1,0.4,3,7,0.14,0.28,8,0.25,0.35,0.42,0,1,14095,83
Jason Kubler,2010,0.56,0.54,0.14,0.41,0.39,2,0.0,14,0,0.57,2,12,0.0,0.21,11,0.45,0.36,0.48,0,1,23003,176
Nino Serdarusic,2016,0.56,0.66,0.25,0.5,0.38,4,0.0,9,1,0.67,4,9,0.0,0.31,9,0.67,0.45,0.59,0,1,17065,256
Daniel Gimeno-Traver,2014,0.56,0.7,0.3,0.5,0.47,140,0.39,205,202,0.53,72,366,0.22,0.36,367,0.74,0.49,0.61,11,20,339005,272
James Duckworth,2015,0.56,0.73,0.26,0.51,0.45,196,0.34,174,131,0.65,86,288,0.16,0.33,290,0.79,0.49,0.63,9,11,301102,1051
Alexander Sarkissian,2016,0.56,0.62,0.29,0.53,0.46,17,0.42,23,12,0.57,6,27,0.19,0.35,27,0.63,0.47,0.58,1,2,80722,262
Rajeev Ram,2017,0.56,0.77,0.24,0.5,0.45,27,0.27,25,22,0.64,17,45,0.13,0.34,42,0.79,0.49,0.66,35,22,478531,1054
Mate Pavic,2013,0.56,0.54,0.27,0.49,0.48,7,0.28,24,18,0.46,8,30,0.17,0.35,30,0.57,0.43,0.52,5,4,34877,938
Federico Delbonis,2011,0.56,0.71,0.35,0.57,0.5,13,0.38,23,42,0.65,13,51,0.31,0.41,53,0.85,0.53,0.65,3,2,75418,79
Peter Polansky,2009,0.56,0.73,0.26,0.46,0.49,29,0.27,45,48,0.64,24,71,0.18,0.36,71,0.77,0.49,0.61,2,4,87113,124
Lorenzo Giustino,2015,0.56,0.45,0.24,0.35,0.0,1,0.0,7,0,0.29,0,7,0.0,0.15,7,0.29,0.29,0.41,0,1,25088,267
David Guez,2015,0.56,0.63,0.27,0.61,0.44,4,0.2,4,5,0.25,2,14,0.07,0.35,13,0.77,0.48,0.62,0,1,66576,268
Stan Wawrinka,2012,0.56,0.73,0.31,0.53,0.5,405,0.43,379,412,0.66,142,712,0.25,0.39,726,0.82,0.52,0.64,35,20,876692,21
Denis Kudla,2012,0.56,0.66,0.28,0.51,0.45,40,0.36,92,59,0.61,32,114,0.18,0.34,119,0.7,0.47,0.6,2,6,137204,117
Dusan Lajovic,2013,0.56,0.72,0.26,0.38,0.46,11,0.47,37,15,0.62,14,46,0.15,0.34,43,0.67,0.45,0.57,0,6,101427,93
Marco Trungelliti,2017,0.56,0.63,0.23,0.47,0.51,8,0.48,36,25,0.47,22,51,0.24,0.37,51,0.63,0.47,0.56,1,2,153809,191
Reda El Amrani,2010,0.56,0.68,0.31,0.44,0.44,25,0.36,36,22,0.67,18,37,0.22,0.37,38,0.68,0.48,0.58,2,1,50217,1182
Benjamin Bonzi,2017,0.56,0.65,0.26,0.43,0.49,6,0.33,28,18,0.64,6,27,0.22,0.36,28,0.64,0.46,0.55,1,1,122531,203
Ruben Ramirez Hidalgo,2009,0.56,0.66,0.25,0.45,0.53,33,0.36,134,87,0.66,72,161,0.19,0.37,155,0.7,0.47,0.57,4,10,117162,601
Tobias Kamke,2017,0.56,0.72,0.26,0.53,0.57,9,0.52,30,21,0.7,14,47,0.23,0.39,47,0.81,0.51,0.64,2,2,102890,213
Ruben Ramirez Hidalgo,2011,0.56,0.64,0.27,0.44,0.5,49,0.43,214,126,0.59,88,244,0.22,0.37,242,0.64,0.47,0.55,5,15,207545,601
Nicolas Almagro,2014,0.56,0.77,0.31,0.55,0.49,162,0.38,119,147,0.6,45,250,0.22,0.38,255,0.81,0.52,0.67,14,9,375760,186
Agustin Velotti,2016,0.56,0.63,0.25,0.36,0.6,1,0.1,9,10,0.56,3,9,0.11,0.36,9,0.56,0.43,0.51,0,0,3388,596
Pere Riba,2010,0.56,0.66,0.3,0.46,0.48,106,0.43,167,127,0.51,59,253,0.22,0.37,257,0.68,0.47,0.57,6,14,199155,939
Ramkumar Ramanathan,2017,0.56,0.76,0.24,0.52,0.48,61,0.34,36,35,0.61,29,77,0.16,0.34,80,0.83,0.5,0.66,8,5,111050,116
Thomaz Bellucci,2014,0.56,0.72,0.27,0.53,0.51,190,0.43,187,185,0.59,91,370,0.21,0.37,373,0.79,0.5,0.64,17,13,380517,224
Mikhail Kukushkin,2009,0.56,0.66,0.31,0.5,0.52,36,0.38,79,87,0.58,23,128,0.26,0.39,127,0.74,0.49,0.59,7,7,142589,95
Benjamin Mitchell,2013,0.56,0.71,0.2,0.53,0.53,19,0.25,17,20,0.59,10,39,0.13,0.33,39,0.82,0.48,0.63,0,2,56074,561
Tim Van Rijthoven,2016,0.56,0.76,0.29,0.41,0.41,11,0.25,11,4,0.73,4,13,0.08,0.34,14,0.79,0.49,0.61,1,1,21477,689
David Guez,2011,0.56,0.62,0.25,0.48,0.53,0,0.4,18,10,0.56,2,20,0.2,0.36,19,0.58,0.46,0.56,0,1,60594,268
Sergiy Stakhovsky,2016,0.56,0.72,0.25,0.49,0.45,130,0.39,133,106,0.54,78,245,0.17,0.33,247,0.75,0.48,0.62,8,14,337454,121
Peter Torebko,2011,0.56,0.68,0.3,0.5,0.58,12,0.57,9,7,0.44,4,17,0.24,0.39,17,0.71,0.5,0.6,0,1,24732,486
Gilles Simon,2010,0.56,0.75,0.26,0.52,0.53,232,0.38,225,250,0.6,94,452,0.21,0.37,462,0.8,0.51,0.65,23,18,523786,69
Gilles Simon,2017,0.56,0.68,0.3,0.51,0.51,117,0.43,336,273,0.6,103,485,0.24,0.38,485,0.72,0.49,0.61,16,25,666046,69
Guillermo Garcia-Lopez,2011,0.56,0.69,0.29,0.49,0.52,181,0.41,371,355,0.54,231,619,0.23,0.38,613,0.72,0.49,0.61,20,29,540069,68
Sam Groth,2017,0.56,0.79,0.2,0.49,0.41,79,0.38,35,16,0.66,32,69,0.09,0.27,70,0.83,0.48,0.66,2,5,106529,286
Stephane Robert,2010,0.56,0.66,0.31,0.48,0.51,63,0.45,237,174,0.57,91,335,0.24,0.39,333,0.69,0.49,0.58,11,17,230609,169
Luis Patino,2016,0.56,0.43,0.17,0.41,0.31,2,1.0,13,1,0.54,1,7,0.14,0.24,8,0.25,0.35,0.42,0,1,6716,803
David Goffin,2014,0.56,0.73,0.29,0.51,0.53,219,0.41,215,272,0.58,128,417,0.27,0.39,420,0.79,0.51,0.63,25,15,758522,10
Stefan Kozlov,2014,0.56,0.61,0.25,0.5,0.5,2,0.17,11,6,0.64,4,9,0.11,0.35,9,0.56,0.45,0.56,0,1,35693,170
Marco Chiudinelli,2016,0.56,0.75,0.25,0.48,0.5,24,0.5,43,34,0.42,20,100,0.17,0.35,97,0.74,0.49,0.63,3,5,186833,464
Martin Klizan,2012,0.56,0.7,0.29,0.5,0.54,114,0.45,247,236,0.62,103,380,0.28,0.39,371,0.75,0.5,0.61,19,15,427335,128
Eric Quigley,2015,0.56,0.73,0.21,0.58,0.25,6,0.0,4,4,0.5,3,10,0.0,0.23,10,0.8,0.45,0.66,0,0,5717,902
Marco Chiudinelli,2017,0.56,0.67,0.2,0.46,0.46,18,0.29,28,17,0.46,10,44,0.11,0.31,45,0.67,0.45,0.58,2,5,92614,464
Alexander Kudryavtsev,2014,0.55,0.74,0.26,0.56,0.46,28,0.29,20,28,0.5,8,58,0.14,0.34,57,0.82,0.49,0.66,2,2,117279,628
Ernests Gulbis,2017,0.55,0.77,0.26,0.47,0.49,146,0.33,105,91,0.68,79,189,0.16,0.35,184,0.82,0.49,0.64,6,8,317146,193
Pere Riba,2009,0.55,0.7,0.31,0.49,0.47,31,0.47,38,30,0.61,9,59,0.24,0.38,58,0.74,0.5,0.61,2,3,94267,939
Romain Jouan,2009,0.55,0.61,0.15,0.55,0.21,7,0.0,9,0,0.44,0,13,0.0,0.16,13,0.62,0.39,0.58,0,1,34130,1140
Pere Riba,2012,0.55,0.61,0.26,0.44,0.47,35,0.28,65,39,0.42,28,85,0.13,0.33,86,0.56,0.43,0.53,1,7,67432,939
Mikhail Kukushkin,2013,0.55,0.69,0.3,0.47,0.53,55,0.58,103,76,0.57,26,152,0.29,0.39,151,0.71,0.49,0.59,6,6,271854,95
Benjamin Mitchell,2012,0.55,0.73,0.16,0.44,0.43,18,0.13,19,8,0.68,14,25,0.04,0.26,25,0.76,0.44,0.6,0,2,50715,561
Gastao Elias,2012,0.55,0.69,0.24,0.47,0.42,3,0.75,14,4,0.64,7,15,0.2,0.32,15,0.67,0.47,0.59,0,2,65863,110
Kevin Krawietz,2009,0.55,0.6,0.29,0.35,0.48,5,0.75,10,4,0.4,5,13,0.23,0.35,12,0.5,0.42,0.49,0,1,2882,408
Ernests Gulbis,2016,0.55,0.74,0.26,0.48,0.47,199,0.36,168,135,0.62,104,271,0.18,0.34,272,0.76,0.48,0.62,7,14,403035,193
Ricardas Berankis,2013,0.55,0.73,0.27,0.52,0.49,164,0.31,196,197,0.66,121,349,0.18,0.35,344,0.81,0.49,0.64,13,16,293215,89
Mate Delic,2015,0.55,0.72,0.19,0.38,0.36,10,0.14,13,7,0.54,6,19,0.05,0.25,17,0.65,0.41,0.57,0,5,36779,411
Guillermo Garcia-Lopez,2013,0.55,0.7,0.29,0.48,0.53,139,0.4,322,295,0.59,189,485,0.25,0.38,481,0.73,0.49,0.6,20,22,395264,68
Andrew Whittington,2017,0.55,0.78,0.21,0.54,0.51,32,0.36,26,22,0.73,24,56,0.14,0.32,54,0.87,0.5,0.67,1,2,155475,273
Evgeny Donskoy,2010,0.55,0.67,0.29,0.49,0.52,19,0.73,39,15,0.67,9,41,0.27,0.38,40,0.68,0.49,0.59,1,2,35532,87
Albano Olivetti,2014,0.55,0.8,0.23,0.47,0.36,92,0.15,38,26,0.58,32,76,0.05,0.27,75,0.79,0.46,0.65,0,2,14148,349
Johan Nikles,2016,0.55,0.61,0.17,0.41,0.35,1,0.0,11,3,0.64,5,8,0.0,0.26,9,0.56,0.41,0.52,0,0,1018,1049
Andreas Haider-Maurer,2015,0.55,0.72,0.27,0.48,0.46,282,0.36,325,270,0.61,231,533,0.18,0.34,541,0.77,0.48,0.61,22,26,556485,418
Noah Rubin,2015,0.55,0.77,0.15,0.55,0.56,2,0.0,5,0,0.6,3,16,0.0,0.27,15,0.87,0.47,0.67,0,1,28556,247
Alejandro Gonzalez,2013,0.55,0.72,0.42,0.41,0.57,7,0.31,10,16,0.6,6,13,0.38,0.47,13,0.69,0.52,0.58,0,1,115826,308
Mubarak Shannan Zayid,2017,0.55,0.65,0.06,0.32,0.24,3,0.0,13,0,0.69,4,8,0.0,0.16,8,0.5,0.37,0.5,0,1,14387,1410
Jonathan Eysseric,2017,0.55,0.63,0.13,0.32,0.4,1,0.0,9,1,0.56,5,8,0.0,0.25,7,0.43,0.38,0.49,8,10,65527,643
Guillermo Garcia-Lopez,2015,0.55,0.73,0.3,0.5,0.52,278,0.44,377,423,0.6,214,703,0.26,0.39,695,0.78,0.51,0.63,31,25,949399,68
Riccardo Ghedin,2009,0.55,0.64,0.2,0.5,0.4,6,0.5,6,2,0.17,4,14,0.07,0.29,14,0.64,0.43,0.58,0,0,6361,989
Dennis Novikov,2017,0.55,0.74,0.23,0.54,0.55,43,0.5,26,20,0.69,14,48,0.21,0.35,49,0.84,0.51,0.65,2,3,119484,167
Guillermo Garcia-Lopez,2017,0.55,0.69,0.27,0.48,0.49,62,0.37,133,123,0.54,87,229,0.2,0.36,226,0.73,0.48,0.6,5,15,403630,68
Paul-Henri Mathieu,2013,0.55,0.71,0.24,0.48,0.47,126,0.37,168,119,0.54,104,302,0.15,0.33,306,0.75,0.47,0.61,6,19,330885,372
Dustin Brown,2010,0.55,0.78,0.23,0.48,0.46,202,0.33,101,90,0.63,68,214,0.14,0.32,208,0.82,0.48,0.65,6,10,173861,162
Martin Klizan,2013,0.55,0.68,0.28,0.49,0.5,216,0.37,348,242,0.66,140,444,0.2,0.36,439,0.73,0.48,0.59,12,24,430411,128
Nikola Milojevic,2014,0.55,0.74,0.27,0.41,0.58,7,0.57,16,14,0.5,9,26,0.31,0.38,26,0.69,0.48,0.59,1,1,20569,198
Jordan Thompson,2015,0.55,0.64,0.29,0.5,0.49,4,0.25,17,8,0.76,10,16,0.13,0.35,16,0.75,0.47,0.58,0,1,71861,99
Mackenzie McDonald,2016,0.55,0.62,0.24,0.43,0.57,5,0.23,29,31,0.41,6,39,0.18,0.38,38,0.55,0.45,0.53,0,3,82188,142
Nicolas Almagro,2017,0.55,0.74,0.29,0.5,0.49,155,0.39,104,130,0.5,51,245,0.21,0.36,250,0.79,0.5,0.63,10,12,355797,186
Jack Sock,2010,0.55,0.63,0.21,0.58,0.38,4,0.67,11,3,0.55,7,16,0.13,0.3,15,0.67,0.45,0.61,0,1,22365,17
Vincent Millot,2015,0.55,0.77,0.24,0.54,0.49,9,0.36,28,22,0.61,6,52,0.15,0.33,51,0.78,0.49,0.67,0,3,117853,220
Jack Sock,2011,0.55,0.67,0.25,0.52,0.49,26,0.29,18,28,0.33,12,44,0.18,0.35,44,0.73,0.47,0.6,1,2,49485,17
Marius Copil,2015,0.55,0.75,0.29,0.54,0.43,101,0.43,47,37,0.66,25,104,0.15,0.33,102,0.84,0.5,0.66,6,6,154058,86
Ernesto Escobedo,2017,0.55,0.7,0.25,0.54,0.44,159,0.31,191,146,0.63,70,312,0.14,0.33,317,0.78,0.48,0.63,9,15,369659,149
Jack Sock,2012,0.55,0.72,0.27,0.53,0.44,114,0.33,100,76,0.69,71,157,0.16,0.34,156,0.8,0.49,0.63,5,7,143419,17
Marsel Ilhan,2016,0.55,0.7,0.21,0.38,0.5,13,0.29,41,24,0.46,12,55,0.13,0.32,53,0.58,0.43,0.55,3,6,118947,303
Andre Ghem,2011,0.55,0.72,0.15,0.46,0.39,3,0.0,5,1,0.4,1,9,0.0,0.26,10,0.7,0.44,0.6,0,1,21984,661
Yoshihito Nishioka,2014,0.55,0.58,0.14,0.33,0.26,1,0.0,10,0,0.5,5,9,0.0,0.2,9,0.44,0.36,0.47,0,1,65663,366
James McGee,2014,0.55,0.66,0.27,0.45,0.49,4,0.5,16,4,0.69,9,19,0.11,0.34,18,0.72,0.46,0.57,2,1,89539,474
Alexandr Dolgopolov,2010,0.55,0.73,0.29,0.52,0.46,378,0.35,324,302,0.62,124,562,0.19,0.36,561,0.78,0.5,0.63,21,23,422162,53
Malek Jaziri,2011,0.55,0.72,0.24,0.5,0.52,13,0.32,23,19,0.7,11,30,0.2,0.38,31,0.77,0.49,0.62,3,3,79465,85
Lamine Ouahab,2016,0.55,0.63,0.2,0.45,0.33,3,0.5,7,2,0.57,4,10,0.1,0.27,10,0.7,0.43,0.55,0,1,18231,517
Illya Marchenko,2012,0.55,0.68,0.34,0.43,0.48,2,0.31,19,13,0.68,18,27,0.15,0.39,25,0.76,0.47,0.57,3,1,66771,252
Alexander Zverev,2014,0.55,0.62,0.31,0.5,0.48,39,0.33,63,73,0.46,35,100,0.24,0.37,98,0.65,0.47,0.56,4,6,164207,4
Viktor Troicki,2014,0.55,0.79,0.3,0.49,0.52,109,0.44,64,77,0.64,26,126,0.27,0.4,127,0.82,0.53,0.65,8,4,135527,70
Jared Donaldson,2014,0.55,0.67,0.22,0.59,0.34,16,0.13,14,8,0.5,5,31,0.03,0.27,31,0.77,0.46,0.63,0,2,62042,51
Luca Vanni,2016,0.55,0.79,0.25,0.47,0.43,56,0.3,30,30,0.47,13,77,0.12,0.32,76,0.79,0.48,0.65,1,5,94448,324
Tsung-Hua Yang,2010,0.55,0.69,0.2,0.5,0.35,15,0.67,28,3,0.71,5,30,0.07,0.26,32,0.75,0.45,0.61,2,5,45671,254
Thiemo de Bakker,2012,0.55,0.6,0.25,0.42,0.38,10,1.0,17,2,0.53,2,18,0.11,0.29,18,0.56,0.42,0.52,3,3,67115,311
Peter Polansky,2012,0.55,0.56,0.29,0.5,0.72,1,0.4,10,15,0.5,2,13,0.46,0.49,12,0.58,0.51,0.53,0,1,66996,124
Donald Young,2015,0.55,0.69,0.28,0.5,0.51,154,0.38,339,320,0.58,194,528,0.23,0.37,542,0.73,0.49,0.61,22,23,671720,131
Jurgen Zopp,2011,0.55,0.65,0.25,0.58,0.58,6,0.25,9,8,0.56,4,14,0.14,0.33,14,0.71,0.46,0.62,2,3,68623,137
